Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,18,14,4,81,67,23,0,0,0,0
WAKO,18,13,5,71,58,32,0,1,0,0
Hong Kong Football Club M4A,18,12,6,66,54,36,0,0,0,0
Kowloon Cricket Club M4,18,12,6,66,54,36,0,0,0,1
Hong Kong Football Club M4B,18,11,7,64,53,37,0,2,0,0
United Services Recreation Club M4,18,8,10,60,52,38,1,0,0,0
Hong Kong Cricket Club M4,18,9,9,51,42,48,0,0,0,0
Bolton,18,4,14,30,27,63,2,0,1,0
Hong Kong Club Blue,18,3,15,26,23,67,0,0,0,0
Royal Hong Kong Yacht Club M4,18,4,14,24,20,70,0,0,0,0
