Team Name,Home,Average Home Score,Average Away Score,home_away_diff
North District Sports Association 1,Cornwall Street Squash Centre,4.25,3.5,0.75
ZOMA,Cornwall Street Squash Centre,2.75,2.1666666666666665,0.5833333333333335
CSD Squash Team,HK Squash Centre,1.75,1.25,0.5
Hong Kong Racketlon Assoication 2,HK Squash Centre,1.75,1.3333333333333333,0.41666666666666674
Latecomers,HK Squash Centre,0.75,0.5,0.25
South China Athletic Association,HK Squash Centre,3.25,3.0,0.25
Star River 2,Cornwall Street Squash Centre,2.0,1.75,0.25
Alpha CUHK,Cornwall Street Squash Centre,3.75,3.6,0.1499999999999999
Hong Kong Football Club 12A,Hong Kong Football Club,2.7142857142857144,2.75,-0.03571428571428559
Sea Bear,Cornwall Street Squash Centre,3.5,3.6,-0.10000000000000009
Winter Warriors,HK Squash Centre,3.1666666666666665,3.5,-0.3333333333333335
Hong Kong Football Club 12B,Hong Kong Football Club,1.4,2.0,-0.6000000000000001
