Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,20,19,1,103,84,16,5,8,0,5
Sha Tin 6,21,15,6,83,68,37,4,9,0,1
Fusion Squash Club 2,21,15,6,74,59,46,16,0,0,0
X-Alpha 5,20,11,9,63,57,42,0,21,5,0
Energy Squash Club 1,21,9,12,62,54,51,8,20,1,0
SocGen Squash,20,9,11,61,52,48,9,4,0,0
Happy Squash 4,20,9,11,51,42,58,0,12,0,3
Energy Squash Club 2,20,10,10,50,48,52,20,11,2,0
Yuen Long District Sports Association Limited,21,7,14,50,43,62,3,27,0,0
Kinetic 4,21,7,14,47,43,62,3,14,0,0
i-Mask Advance Squash Club 5,21,7,14,42,35,70,39,11,0,0
HKIS Div 13,20,5,15,33,29,70,38,8,1,0
