Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,19,19,0,91,72,23,0,0,0,0
The Squash Club 3,19,13,6,73,60,35,0,0,0,0
BOSS,18,11,7,62,51,39,0,0,0,0
Kinetic 3,19,11,8,59,48,47,0,0,0,0
Star River 1,19,10,9,59,49,46,0,0,0,0
Tuen Mun Squash Club,19,10,9,55,45,50,0,0,0,0
HKCC Tuesday Night Rockers,19,8,11,51,43,52,0,0,0,0
Global Squash 2,18,7,11,51,44,46,0,0,0,0
i-Mask Advance Squash Club 4,18,5,13,41,36,54,0,0,0,0
7NT,19,4,15,38,35,60,0,0,0,0
Invader Squash,19,5,14,37,32,63,0,0,0,0
