Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against,Win Percentage
Hong Kong Cricket Club D6,5,1,4,9,6,2025-2026,10,,,0.2
Hong Kong Cricket Club D7A,4,3,1,14,7,2025-2026,2,,,0.75
Hong Kong Cricket Club D7B,4,2,2,11,7,2025-2026,6,,,0.5
Hong Kong Cricket Club D10,4,2,2,14,10,2025-2026,5,,,0.5
Hong Kong Cricket Club D15,4,4,0,20,15B,2025-2026,1,,,1.0
Hong Kong Cricket Club M1A,5,2,3,11,Premier Masters,2025-2026,3,,,0.4
Hong Kong Cricket Club M1B,5,1,4,6,Premier Masters,2025-2026,4,,,0.2
Hong Kong Cricket Club M2,4,3,1,15,M2,2025-2026,2,,,0.75
Hong Kong Cricket Club M3,5,4,1,22,M3,2025-2026,2,,,0.8
Hong Kong Cricket Club M4,6,3,3,18,M4,2025-2026,6,,,0.5
Hong Kong Cricket Club L1,1,0,1,0,Premier Ladies,2025-2026,5,,,0.0
Hong Kong Cricket Club L2,5,2,3,13,L2,2025-2026,3,,,0.4
Hong Kong Cricket Club L3,5,4,1,16,L3,2025-2026,1,,,0.8
Hong Kong Cricket Club L4,4,3,1,12,L4,2025-2026,5,,,0.75
Hong Kong Cricket Club Rockettes,5,2,3,8,L4,2025-2026,7,,,0.4
