Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,14,11,3,39
Hong Kong Football Club M1B,13,10,3,38
Hong Kong Cricket Club M1A,14,6,8,29
Hong Kong Cricket Club M1B,14,5,9,21
Squashathon M+,13,2,11,9
