Team,Played,Won,Lost,Points
Kowloon Cricket Club M3,14,13,1,68
Hong Kong Football Club M3A,15,10,5,66
Hong Kong Cricket Club M3,14,9,5,55
Hong Kong Football Club M3B,15,10,5,51
Royal Hong Kong Yacht Club M3,14,5,9,35
Titlows Squash Master,15,2,13,17
OSF,15,2,13,14
