Team,Played,Won,Lost,Points
Happy Squash 4,15,12,3,61
Electrify Squash Div 13,15,10,5,58
Kowloon Cricket Club 13,15,11,4,57
Squashathon One,14,7,7,47
TNG 2,15,8,7,45
Hong Kong Football Club 13,15,7,8,45
Fusion Squash Club 3,15,5,10,37
Yuen Long District Sports Association Limited,15,5,10,30
Kinetic 4,15,2,13,19
