Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 15,100.0,100.0,60.0,60.0,33.33333333333333,70.66666666666666,23
Squash-On,100.0,75.0,50.0,75.0,33.33333333333333,66.66666666666666,19
RELAY 2,42.857142857142854,71.42857142857143,57.14285714285714,57.14285714285714,66.66666666666666,59.04761904761904,34
i-Mask Advance Squash Club 6,0.0,57.14285714285714,42.857142857142854,25.0,50.0,35.0,27
Serve - Ivors,100.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333,10
TNG 3,0.0,20.0,60.0,25.0,33.33333333333333,27.666666666666664,22
Fusion Squash Club 3,50.0,25.0,25.0,25.0,0.0,25.0,18
Squashathon MeGa,50.0,16.666666666666664,33.33333333333333,0.0,0.0,19.999999999999996,29
