Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 7,12,9,3,44,36,24
Hong Kong Football Club 7B,11,7,4,42,35,20
The Squash Club 2,11,6,5,37,31,24
Hong Kong Cricket Club 6,11,7,4,35,28,27
Physical Chess 2,11,6,5,35,29,26
Xavier,11,4,7,32,28,27
Twister 2,11,0,11,8,8,47
