Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 3,11,8,3,46,39,16
UST,11,7,4,38,31,24
Hong Kong Football Club 7A,12,6,6,36,30,30
Hong Kong Cricket Club 5,11,6,5,33,27,28
The Best Group 1,11,5,6,30,25,30
Kinetic 1,11,3,8,28,25,30
Vitality Squash 1,11,4,7,20,18,37
