Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
X-Alpha 1,100.0,100.0,100.0,100.0,100.0,100.0,9
Happy Squash 1,100.0,100.0,50.0,0.0,100.0,70.0,9
Hong Kong Football Club 3A,0.0,0.0,100.0,100.0,50.0,50.0,10
United Services Recreation Club 1,0.0,50.0,50.0,50.0,100.0,50.0,9
NEXUS 1,66.66666666666666,100.0,33.33333333333333,33.33333333333333,0.0,46.666666666666664,15
Kowloon Cricket Club 3B,33.33333333333333,66.66666666666666,50.0,0.0,50.0,40.0,12
Kowloon Cricket Club 3A,50.0,0.0,0.0,50.0,50.0,30.0,10
Hong Kong Football Club 3B,50.0,0.0,0.0,50.0,0.0,20.0,9
