Home Team,Away Team,Venue,Match Week,Date
CSD Squash Team,Sha Tin 5,HK Squash Centre,6,2025-11-19
SKCSC Div 12,Global Squash 2,Cornwall Street Squash Centre,7,2025-11-26
Star River 1,Latecomers,Cornwall Street Squash Centre,7,2025-11-26
Sha Tin 5,Winter Warriors,Cornwall Street Squash Centre,7,2025-11-26
Physical Chess 4,CSD Squash Team,Harbour Road Sports Centre,7,2025-11-26
Royal Hong Kong Yacht Club Div 12,Hong Kong Football Club 12B,Royal Hong Kong Yacht Club,7,2025-11-26
CSD Squash Team,Hong Kong Football Club 12B,HK Squash Centre,8,2025-12-10
Winter Warriors,Physical Chess 4,HK Squash Centre,8,2025-12-10
Latecomers,Sha Tin 5,HK Squash Centre,8,2025-12-10
Global Squash 2,Star River 1,HK Squash Centre,8,2025-12-10
Hong Kong Football Club 12A,SKCSC Div 12,Hong Kong Football Club,8,2025-12-10
Star River 1,Hong Kong Football Club 12A,Cornwall Street Squash Centre,9,2025-12-17
Sha Tin 5,Global Squash 2,Cornwall Street Squash Centre,9,2025-12-17
Physical Chess 4,Latecomers,HK Squash Centre,9,2025-12-17
Hong Kong Football Club 12B,Winter Warriors,Hong Kong Football Club,9,2025-12-17
Royal Hong Kong Yacht Club Div 12,CSD Squash Team,Royal Hong Kong Yacht Club,9,2025-12-17
Winter Warriors,Royal Hong Kong Yacht Club Div 12,HK Squash Centre,10,2026-01-07
Latecomers,Hong Kong Football Club 12B,HK Squash Centre,10,2026-01-07
Global Squash 2,Physical Chess 4,HK Squash Centre,10,2026-01-07
Sha Tin 5,Hong Kong Football Club 12A,Cornwall Street Squash Centre,10,2026-01-07
SKCSC Div 12,Star River 1,Cornwall Street Squash Centre,10,2026-01-07
Sha Tin 5,SKCSC Div 12,Cornwall Street Squash Centre,11,2026-01-14
Physical Chess 4,Hong Kong Football Club 12A,Harbour Road Sports Centre,11,2026-01-14
Hong Kong Football Club 12B,Global Squash 2,Hong Kong Football Club,11,2026-01-14
Royal Hong Kong Yacht Club Div 12,Latecomers,Royal Hong Kong Yacht Club,11,2026-01-14
CSD Squash Team,Winter Warriors,HK Squash Centre,11,2026-01-14
CSD Squash Team,Latecomers,HK Squash Centre,12,2026-01-21
Royal Hong Kong Yacht Club Div 12,Global Squash 2,Royal Hong Kong Yacht Club,12,2026-01-21
Physical Chess 4,SKCSC Div 12,Harbour Road Sports Centre,12,2026-01-21
Sha Tin 5,Star River 1,Cornwall Street Squash Centre,12,2026-01-21
Hong Kong Football Club 12B,Hong Kong Football Club 12A,Hong Kong Football Club,12,2026-01-21
Star River 1,Physical Chess 4,Cornwall Street Squash Centre,13,2026-01-28
SKCSC Div 12,Hong Kong Football Club 12B,Cornwall Street Squash Centre,13,2026-01-28
Hong Kong Football Club 12A,Royal Hong Kong Yacht Club Div 12,Hong Kong Football Club,13,2026-01-28
Global Squash 2,CSD Squash Team,Harbour Road Sports Centre,13,2026-01-28
Latecomers,Winter Warriors,HK Squash Centre,13,2026-01-28
Winter Warriors,Global Squash 2,HK Squash Centre,14,2026-02-04
CSD Squash Team,Hong Kong Football Club 12A,HK Squash Centre,14,2026-02-04
Royal Hong Kong Yacht Club Div 12,SKCSC Div 12,Royal Hong Kong Yacht Club,14,2026-02-04
Hong Kong Football Club 12B,Star River 1,Hong Kong Football Club,14,2026-02-04
Physical Chess 4,Sha Tin 5,Harbour Road Sports Centre,14,2026-02-04
Sha Tin 5,Hong Kong Football Club 12B,Cornwall Street Squash Centre,15,2026-02-11
Star River 1,Royal Hong Kong Yacht Club Div 12,Cornwall Street Squash Centre,15,2026-02-11
SKCSC Div 12,CSD Squash Team,Cornwall Street Squash Centre,15,2026-02-11
Hong Kong Football Club 12A,Winter Warriors,Hong Kong Football Club,15,2026-02-11
Global Squash 2,Latecomers,Harbour Road Sports Centre,15,2026-02-11
Hong Kong Football Club 12A,Latecomers,Hong Kong Football Club,16,2026-03-04
Winter Warriors,SKCSC Div 12,HK Squash Centre,16,2026-03-04
CSD Squash Team,Star River 1,HK Squash Centre,16,2026-03-04
Royal Hong Kong Yacht Club Div 12,Sha Tin 5,Royal Hong Kong Yacht Club,16,2026-03-04
Hong Kong Football Club 12B,Physical Chess 4,Hong Kong Football Club,16,2026-03-04
Physical Chess 4,Royal Hong Kong Yacht Club Div 12,HK Squash Centre,17,2026-03-11
Sha Tin 5,CSD Squash Team,Cornwall Street Squash Centre,17,2026-03-11
Star River 1,Winter Warriors,Cornwall Street Squash Centre,17,2026-03-11
SKCSC Div 12,Latecomers,Cornwall Street Squash Centre,17,2026-03-11
Global Squash 2,Hong Kong Football Club 12A,HK Squash Centre,17,2026-03-11
Global Squash 2,SKCSC Div 12,HK Squash Centre,18,2026-03-18
Latecomers,Star River 1,HK Squash Centre,18,2026-03-18
Winter Warriors,Sha Tin 5,HK Squash Centre,18,2026-03-18
CSD Squash Team,Physical Chess 4,HK Squash Centre,18,2026-03-18
Hong Kong Football Club 12B,Royal Hong Kong Yacht Club Div 12,Hong Kong Football Club,18,2026-03-18
Hong Kong Football Club 12B,CSD Squash Team,Hong Kong Football Club,19,2026-03-25
Physical Chess 4,Winter Warriors,HK Squash Centre,19,2026-03-25
Sha Tin 5,Latecomers,Cornwall Street Squash Centre,19,2026-03-25
Star River 1,Global Squash 2,Cornwall Street Squash Centre,19,2026-03-25
SKCSC Div 12,Hong Kong Football Club 12A,Cornwall Street Squash Centre,19,2026-03-25
Hong Kong Football Club 12A,Star River 1,Hong Kong Football Club,20,2026-04-15
Global Squash 2,Sha Tin 5,Harbour Road Sports Centre,20,2026-04-15
Latecomers,Physical Chess 4,HK Squash Centre,20,2026-04-15
Winter Warriors,Hong Kong Football Club 12B,HK Squash Centre,20,2026-04-15
CSD Squash Team,Royal Hong Kong Yacht Club Div 12,HK Squash Centre,20,2026-04-15
Royal Hong Kong Yacht Club Div 12,Winter Warriors,Royal Hong Kong Yacht Club,21,2026-04-22
Hong Kong Football Club 12B,Latecomers,Hong Kong Football Club,21,2026-04-22
Physical Chess 4,Global Squash 2,Harbour Road Sports Centre,21,2026-04-22
Hong Kong Football Club 12A,Sha Tin 5,Hong Kong Football Club,21,2026-04-22
Star River 1,SKCSC Div 12,Cornwall Street Squash Centre,21,2026-04-22
SKCSC Div 12,Sha Tin 5,Cornwall Street Squash Centre,22,2026-04-29
Hong Kong Football Club 12A,Physical Chess 4,Hong Kong Football Club,22,2026-04-29
Global Squash 2,Hong Kong Football Club 12B,Harbour Road Sports Centre,22,2026-04-29
Latecomers,Royal Hong Kong Yacht Club Div 12,HK Squash Centre,22,2026-04-29
Winter Warriors,CSD Squash Team,HK Squash Centre,22,2026-04-29
