Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club D1,Kowloon Cricket Club 1B,Hong Kong Cricket Club,7,2026-03-19
Hong Kong Football Club 1B,FWD,Hong Kong Football Club,7,2026-03-19
Hong Kong Football Club 1A,Kowloon Cricket Club 1A,Hong Kong Football Club,7,2026-03-19
Hong Kong Football Club 1B,Kowloon Cricket Club 1B,Hong Kong Football Club,8,2026-04-09
Kowloon Cricket Club 1A,Hong Kong Cricket Club D1,Kowloon Cricket Club,8,2026-04-09
FWD,Hong Kong Football Club 1A,HK Squash Centre,8,2026-04-09
Kowloon Cricket Club 1B,FWD,Kowloon Cricket Club,9,2026-04-23
Hong Kong Football Club 1A,Hong Kong Cricket Club D1,Hong Kong Football Club,9,2026-04-23
Hong Kong Football Club 1B,Kowloon Cricket Club 1A,Hong Kong Football Club,9,2026-04-23
Kowloon Cricket Club 1B,Hong Kong Football Club 1A,Kowloon Cricket Club,10,2026-04-30
Kowloon Cricket Club 1A,FWD,Kowloon Cricket Club,10,2026-04-30
Hong Kong Football Club 1B,Hong Kong Cricket Club D1,Hong Kong Football Club,10,2026-04-30
