Home Team,Away Team,Venue,Match Week,Date
Royal Hong Kong Yacht Club M4,Hong Kong Cricket Club M4,Royal Hong Kong Yacht Club,6,2025-11-06
WAKO,SKCSC M4,Masters - Harbour Road Sports Centre,6,2025-11-06
Hong Kong Football Club M4A,United Services Recreation Club M4,Hong Kong Football Club,6,2025-11-06
United Services Recreation Club M4,Kowloon Cricket Club M4,United Services Recreation Club,7,2025-11-13
Bolton,Hong Kong Football Club M4A,Masters - HK Squash Centre,7,2025-11-13
SKCSC M4,Hong Kong Club Blue,Masters - Cornwall Street Squash Centre,7,2025-11-13
Royal Hong Kong Yacht Club M4,WAKO,Royal Hong Kong Yacht Club,7,2025-11-13
Hong Kong Football Club M4B,Hong Kong Cricket Club M4,Hong Kong Football Club,7,2025-11-13
Kowloon Cricket Club M4,Hong Kong Cricket Club M4,Kowloon Cricket Club,8,2025-11-20
WAKO,Hong Kong Football Club M4B,Masters - Harbour Road Sports Centre,8,2025-11-20
Royal Hong Kong Yacht Club M4,Hong Kong Club Blue,Royal Hong Kong Yacht Club,8,2025-11-20
Hong Kong Football Club M4A,SKCSC M4,Hong Kong Football Club,8,2025-11-20
United Services Recreation Club M4,Bolton,United Services Recreation Club,8,2025-11-20
Bolton,Kowloon Cricket Club M4,Masters - Harbour Road Sports Centre,9,2025-11-27
SKCSC M4,United Services Recreation Club M4,Masters - Cornwall Street Squash Centre,9,2025-11-27
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club,9,2025-11-27
Hong Kong Club Blue,Hong Kong Football Club M4B,The Hong Kong Club,9,2025-11-27
Hong Kong Cricket Club M4,WAKO,Hong Kong Cricket Club,9,2025-11-27
Kowloon Cricket Club M4,WAKO,Kowloon Cricket Club,10,2025-12-11
Hong Kong Club Blue,Hong Kong Cricket Club M4,The Hong Kong Club,10,2025-12-11
United Services Recreation Club M4,Royal Hong Kong Yacht Club M4,United Services Recreation Club,10,2025-12-11
SKCSC M4,Bolton,Masters - Cornwall Street Squash Centre,10,2025-12-11
Hong Kong Football Club M4B,Hong Kong Football Club M4A,Hong Kong Football Club,10,2025-12-11
SKCSC M4,Kowloon Cricket Club M4,Masters - Cornwall Street Squash Centre,11,2025-12-18
Royal Hong Kong Yacht Club M4,Bolton,Royal Hong Kong Yacht Club,11,2025-12-18
United Services Recreation Club M4,Hong Kong Football Club M4B,United Services Recreation Club,11,2025-12-18
