Home Team,Away Team,Venue,Match Week,Date
Squashathon PLZ,Star River 3,HK Squash Centre,10,2025-01-10
TNG 2,Physical Chess 4,Cornwall Street Squash Centre,10,2025-01-10
M&M Squash,TNG 1,HK Squash Centre,10,2025-01-10
North District Sports Association 2,Vitality Squash 3,Cornwall Street Squash Centre,10,2025-01-10
Greenfield,Arctic Circle,HK Squash Centre,10,2025-01-10
Royal Hong Kong Yacht Club Div 13,Bravo D13,Royal Hong Kong Yacht Club,10,2025-01-10
