Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8
Hong Kong Cricket Club 6,21,19.0,2.0,98.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squashathon Zero,21,16.0,5.0,92.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
i-Mask Advance Squash Club 3,21,17.0,4.0,88.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Sha Tin Squash Rackets Club 3,21,10.0,11.0,58.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
MERCURY,21,7.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Kinetic 1,21,5.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Ladies Recreation Club Div 12,21,5.0,16.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Studio Pro,21,5.0,16.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
