Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (6),Lau Kwai Hong (5),Lau Kwai Hong (100.0%)
Hong Kong Cricket Club D7B,"Dickson Robert, Freeman Neil (6)",Dickson Robert (4),Dickson Robert (66.7%)
Hong Kong Football Club 7A,Yeung Yurisa (6),"Yeung Yurisa, Porter Darrell Lee (4)",Porter Darrell Lee (80.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (7),Yeung Himmy Cheuk Him (5),Au Siu Fai (80.0%)
Kinetic 1,Lin Charles Lan Kay (7),Gibert Kai Shaun Otto (5),Gibert Kai Shaun Otto (100.0%)
Physical Chess 2,"Ting Long Hin Alex, Dai Kwun San Harry, Wong Wai Lap, Lee Darren Ching Him (5)","Ting Long Hin Alex, Wong Wai Lap, Lee Darren Ching Him (5)","Ting Long Hin Alex, Wong Wai Lap, Lee Darren Ching Him (100.0%)"
Social Squash Team,"Catherine Loic, Adjemian Nicolas, Wong Ching Yui Dominic, Mirwasser Nicolas (5)",Adjemian Nicolas (3),Adjemian Nicolas (60.0%)
Thunder 1,Chan Hei Wai Henry (7),Chan Hei Wai Henry (5),Chan Hei Wai Henry (71.4%)
UST, (nan), (nan), (nan%)
Xavier,"Liu Chun Hin Heron, Chan Keiko Tsun Ling, Tam Kai Chung Hades, Chan Ping Him Kevin (7)",Liu Chun Hin Heron (6),Liu Chun Hin Heron (85.7%)
i-Mask Advance Squash Club 1,Li Chi Hei (7),Li Chi Hei (5),Ho Helen Sin Man (80.0%)
