Team,Most Games,Most Wins,Highest Win Percentage
Bolton,"Wright Martin, Gollop Stephen (7)",Wright Martin (3),Wright Martin (42.9%)
Hong Kong Club Blue,McLennan Justin (6),McLennan Justin (3),McLennan Justin (50.0%)
Hong Kong Cricket Club M4,Bernard Edwin (8),Poole-Wilson Michael (5),Bradbury Adrian (80.0%)
Hong Kong Football Club M4A,"Chow Kar Wah, Murray David (6)","Au Siu Fai, Ford Anthony, Chow Kar Wah, Chan Christine Yik Tat, Murray David (4)","Au Siu Fai, Ford Anthony, Chan Christine Yik Tat (80.0%)"
Hong Kong Football Club M4B,Dansanghani Rahul (6),Dansanghani Rahul (5),Dansanghani Rahul (83.3%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (7),Choy Yuk Kwong Donnie (6),Choy Yuk Kwong Donnie (100.0%)
Royal Hong Kong Yacht Club M4,Leung Chi Wang Christopher (6),"Leung Chi Wang Christopher, Tse Ray, Adams David, Oei Chuen Shek Joseph, Ho Wai Keung (2)","Tse Ray, Adams David, Oei Chuen Shek Joseph, Ho Wai Keung (40.0%)"
SKCSC M4,Mong Hoi Ching Norman (8),Mong Hoi Ching Norman (6),Mong Hoi Ching Norman (75.0%)
United Services Recreation Club M4,"Lai Kwok Wai Wilfred, Yu Chi Keung (8)",Yam Ken Luen Kai (4),Yam Ken Luen Kai (80.0%)
WAKO,"Mok Sui Kei, Yiu Sai Ngoi (7)",Mok Sui Kei (7),Mok Sui Kei (100.0%)
