Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,16,16,0,76,60,20,0,0,0,0
The Squash Club 3,16,10,6,57,47,33,0,0,0,0
BOSS,16,10,6,56,46,34,0,0,0,0
Star River 1,18,9,9,54,45,45,0,0,0,0
Tuen Mun Squash Club,17,10,7,53,43,42,0,0,0,0
Kinetic 3,16,10,6,52,42,38,0,0,0,0
HKCC Tuesday Night Rockers,16,7,9,45,38,42,0,0,0,0
Global Squash 2,16,6,10,45,39,41,0,0,0,0
i-Mask Advance Squash Club 4,16,5,11,38,33,47,0,0,0,0
7NT,16,3,13,33,30,50,0,0,0,0
Invader Squash,17,4,13,31,27,58,0,0,0,0
