Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,18,17,1,87,72,18,0,13,0,0
TNG 2,18,15,3,74,62,28,5,5,1,0
Royal Hong Kong Yacht Club Div 13,18,13,5,71,58,32,0,9,0,0
Greenfield,18,12,6,69,57,33,0,10,0,0
North District Sports Association 2,18,10,8,58,48,42,0,3,0,0
Arctic Circle,18,9,9,56,47,43,5,3,0,2
Squashathon PLZ,18,8,10,56,48,42,0,5,0,0
Bravo D13,18,6,12,41,35,54,9,7,0,0
Vitality Squash 3,18,7,11,34,29,60,21,2,2,1
M&M Squash,18,5,13,33,30,60,4,1,1,0
Physical Chess 4,18,3,15,30,28,62,18,4,0,0
Star River 3,18,3,15,28,25,65,0,0,0,1
