Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,18,18,0,85,67,23,0,0,0,0
United Services Recreation Club 2,18,12,6,67,55,35,0,0,0,0
Kowloon Cricket Club 6A,18,12,6,67,55,35,0,0,0,0
Hong Kong Cricket Club 4,18,10,8,59,49,41,0,0,0,0
Hong Kong Football Club 6B,18,10,8,56,46,44,0,1,0,0
Global Squash 1,18,10,8,53,43,47,0,0,0,0
Hong Kong Football Club 6C,18,7,11,51,44,46,0,0,0,0
Hong Kong Football Club 6A,18,7,11,49,42,48,0,0,0,0
Friend Club 3,18,2,16,27,25,65,1,0,0,0
Social Squash Team,18,2,16,26,24,66,0,0,0,0
