Home Team,Away Team,Venue,Match Week,Date
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,4,2024-10-26
Squashathon MeGa,Squash-On,HK Squash Centre,4,2024-10-26
i-Mask Advance Squash Club 6,TNG 3,Cornwall Street Squash Centre,5,2024-11-23
Squash-On,Fusion Squash Club 3,HK Squash Centre,5,2024-11-23
Serve - Ivors,Squashathon MeGa,HK Squash Centre,5,2024-11-23
Squashathon MeGa,Fusion Squash Club 3,HK Squash Centre,7,2024-12-14
Electrify Squash Div 15,Fusion Squash Club 3,HK Squash Centre,8,2025-01-04
Squash-On,Electrify Squash Div 15,HK Squash Centre,9,2025-01-11
Serve - Ivors,Squash-On,HK Squash Centre,10,2025-01-18
Serve - Ivors,Electrify Squash Div 15,HK Squash Centre,11,2025-01-25
Squash-On,Squashathon MeGa,HK Squash Centre,11,2025-01-25
TNG 3,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,12,2025-02-08
Fusion Squash Club 3,Squash-On,HK Squash Centre,12,2025-02-08
Squashathon MeGa,Serve - Ivors,HK Squash Centre,12,2025-02-08
Squash-On,TNG 3,Cornwall Street Squash Centre,13,2025-02-15
Fusion Squash Club 3,Squashathon MeGa,HK Squash Centre,14,2025-02-22
Fusion Squash Club 3,Electrify Squash Div 15,HK Squash Centre,15,2025-03-01
Electrify Squash Div 15,Squash-On,HK Squash Centre,16,2025-03-08
Squash-On,Serve - Ivors,HK Squash Centre,17,2025-03-15
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,18,2025-03-22
Squashathon MeGa,Squash-On,HK Squash Centre,18,2025-03-22
i-Mask Advance Squash Club 6,TNG 3,Cornwall Street Squash Centre,19,2025-03-29
Squash-On,Fusion Squash Club 3,HK Squash Centre,19,2025-03-29
Serve - Ivors,Squashathon MeGa,HK Squash Centre,19,2025-03-29
Electrify Squash Div 15,Squashathon MeGa,HK Squash Centre,20,2025-04-05
Fusion Squash Club 3,Serve - Ivors,HK Squash Centre,20,2025-04-05
Squashathon MeGa,Fusion Squash Club 3,HK Squash Centre,21,2025-04-12
