Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,15,12,3,67,55,20,0,0,0,0
WAKO,15,11,4,59,48,27,0,1,0,0
Hong Kong Football Club M4A,15,10,5,56,46,29,0,0,0,0
Kowloon Cricket Club M4,15,9,6,51,42,33,0,0,0,0
Hong Kong Cricket Club M4,15,9,6,50,41,34,0,0,0,0
Hong Kong Football Club M4B,15,8,7,48,40,35,0,2,0,0
United Services Recreation Club M4,15,6,9,48,42,33,1,0,0,0
Bolton,15,4,11,29,25,50,2,0,0,0
Hong Kong Club Blue,15,3,12,24,21,54,0,0,0,0
Royal Hong Kong Yacht Club M4,15,3,12,18,15,60,0,0,0,0
