Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,15,13,2,77,64,11,0,1,0,0
Twister,15,12,3,64,52,23,0,0,0,0
Hong Kong Football Club 9,15,10,5,57,47,28,0,0,0,0
Centre Squash,15,11,4,55,44,31,0,2,0,0
i-Mask Advance Squash Club 3,15,9,6,47,38,37,0,0,0,0
The Hong Kong Jockey Club Div 9,15,8,7,44,36,39,1,0,0,0
Kowloon Cricket Club 9,15,5,10,34,29,46,5,0,0,0
HKPF Squash Team,15,3,12,32,29,46,2,6,0,0
Kinetic 3,15,3,12,24,21,54,0,0,0,0
BOSS,15,1,14,16,15,60,1,0,0,0
