Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,15,11,4,61,50,25,1,2,0,0
YLJR,15,11,4,61,50,25,1,1,0,0
Kowloon Cricket Club 4,15,11,4,60,49,26,4,1,0,0
TNGX,15,9,6,59,50,25,0,7,0,0
Sha Tin 1,15,10,5,52,44,31,0,0,0,1
Hong Kong Football Club 4B,15,7,8,41,34,41,2,0,0,0
Hong Kong Football Club 4A,15,7,8,40,34,41,1,0,1,0
Hong Kong Cricket Club D4A,15,4,11,27,23,52,6,3,0,0
The Squash Club 1,15,2,13,25,23,52,1,1,0,0
Hong Kong Cricket Club D4B,15,3,12,21,18,57,0,1,0,0
