Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,14,12,2,63,51,19,0,4,0,0
Royal Hong Kong Yacht Club Div 12,14,10,4,61,51,19,0,0,0,1
Sha Tin 5,13,10,3,51,41,24,0,6,0,1
Physical Chess 4,13,9,4,50,41,24,0,6,0,0
Winter Warriors,13,9,4,47,39,26,0,2,1,0
Global Squash 2,14,8,6,46,38,32,0,0,0,0
Hong Kong Football Club 12A,14,6,8,35,29,41,1,5,0,0
Hong Kong Football Club 12B,14,6,8,35,29,41,0,4,0,0
SKCSC Div 12,14,3,11,25,22,48,0,4,0,0
CSD Squash Team,14,1,13,20,20,50,25,0,1,0
Latecomers,13,1,12,14,14,51,10,5,0,0
