Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,13,12,1,61,49,16,0,2,0,0
Hong Kong Football Club 7B,14,10,4,59,49,21,0,1,0,0
Hong Kong Football Club 7A,14,9,5,48,39,31,0,1,0,0
i-Mask Advance Squash Club 1,14,8,6,47,39,31,1,1,0,0
Hong Kong Cricket Club D7B,14,6,8,39,33,37,0,1,0,0
Hong Kong Cricket Club D7A,14,6,8,39,33,37,1,2,0,4
UST,13,7,6,36,32,33,1,1,3,0
Thunder 1,14,6,8,36,30,40,0,3,0,0
Xavier,13,5,8,33,28,37,8,0,0,0
Social Squash Team,13,5,8,28,23,42,1,0,0,0
Kinetic 1,14,1,13,20,20,50,1,1,1,0
