Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,15,14,1,77,63,12,0,8,0,0
Uncles,15,11,4,60,49,26,0,1,0,0
Hong Kong Football Club 6A,15,10,5,54,44,31,0,5,0,0
Kowloon Cricket Club 6A,15,10,5,54,44,31,2,1,0,0
Hong Kong Football Club 6B,15,8,7,46,38,37,0,0,0,1
Hong Kong Football Club 6C,15,8,7,43,35,40,0,1,0,0
Ladies Recreation Club Div 6,15,7,8,42,35,40,1,6,0,0
Fusion Squash Club 1,15,7,8,38,32,43,17,0,1,0
Electrify Squash Div 6,15,6,9,36,33,42,9,3,3,0
Global Squash 1,15,3,12,31,28,47,0,0,0,0
Hong Kong Cricket Club D6,15,3,12,29,26,49,0,4,0,0
X-Alpha 3,15,3,12,26,23,52,0,0,0,3
