Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Xavier,Cornwall Street Squash Centre,2.5,0.0,2.5
Thunder 1,Cornwall Street Squash Centre,3.0,1.0,2.0
Hong Kong Cricket Club D7B,Hong Kong Cricket Club,3.0,1.5,1.5
Social Squash Team,HK Squash Centre,2.5,1.5,1.0
UST,Cornwall Street Squash Centre,2.5,2.0,0.5
Hong Kong Cricket Club D7A,Hong Kong Cricket Club,3.0,3.0,0.0
Hong Kong Football Club 7A,Hong Kong Football Club,3.0,3.0,0.0
Kinetic 1,HK Squash Centre,1.0,1.5,-0.5
Hong Kong Football Club 7B,Hong Kong Football Club,3.0,4.0,-1.0
i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,0.0,3.3333333333333335,-3.3333333333333335
Physical Chess 2,Cornwall Street Squash Centre,0.0,3.5,-3.5
