Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Latecomers,CSD Squash Team,HK Squash Centre,1,08/10/2025,3-2,"['2-3', '0-3', 'CR', 'CR', 'CR']",3,2,11,6,shared_home,CSD Squash Team,CSD Squash Team,,,
Global Squash 2,Royal Hong Kong Yacht Club Div 12,HK Squash Centre,1,08/10/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,neutral,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12
SKCSC Div 12,Physical Chess 4,Cornwall Street Squash Centre,1,08/10/2025,0-5,"['0-3', '0-3', '0-3', '1-3', '0-3']",0,5,1,15,home,Physical Chess 4,Physical Chess 4,Physical Chess 4,Physical Chess 4,Physical Chess 4
Star River 1,Sha Tin 5,Cornwall Street Squash Centre,1,08/10/2025,4-1,"['3-0', '3-0', '3-0', '3-1', '2-3']",4,1,14,4,shared_home,Star River 1,Star River 1,Star River 1,Star River 1,Sha Tin 5
Hong Kong Football Club 12A,Hong Kong Football Club 12B,Hong Kong Football Club,1,08/10/2025,1-4,"['0-3', '2-3', '3-1', '1-3', '0-3']",1,4,6,13,shared_home,Hong Kong Football Club 12B,Hong Kong Football Club 12B,Hong Kong Football Club 12A,Hong Kong Football Club 12B,Hong Kong Football Club 12B
Physical Chess 4,Star River 1,Harbour Road Sports Centre,2,15/10/2025,1-4,"['0-3', '0-3', '2-3', '0-3', '3-0']",1,4,5,12,home,Star River 1,Star River 1,Star River 1,Star River 1,Physical Chess 4
Hong Kong Football Club 12B,SKCSC Div 12,Hong Kong Football Club,2,15/10/2025,3-2,"['3-2', '1-3', '3-1', '3-0', '0-3']",3,2,10,9,home,Hong Kong Football Club 12B,SKCSC Div 12,Hong Kong Football Club 12B,Hong Kong Football Club 12B,SKCSC Div 12
Royal Hong Kong Yacht Club Div 12,Hong Kong Football Club 12A,Royal Hong Kong Yacht Club,2,15/10/2025,4-1,"['3-0', '3-0', '3-0', '2-3', '3-2']",4,1,14,5,home,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Hong Kong Football Club 12A,Royal Hong Kong Yacht Club Div 12
CSD Squash Team,Global Squash 2,HK Squash Centre,2,15/10/2025,2-3,"['3-0', '3-0', '0-3', '0-3', '0-3']",2,3,6,9,home,CSD Squash Team,CSD Squash Team,Global Squash 2,Global Squash 2,Global Squash 2
Winter Warriors,Latecomers,HK Squash Centre,2,15/10/2025,3-2,"['0-3', '3-0', '3-0', '1-3', 'CR']",3,2,10,6,shared_home,Latecomers,Winter Warriors,Winter Warriors,Latecomers,
Global Squash 2,Winter Warriors,Harbour Road Sports Centre,3,22/10/2025,2-3,"['2-3', '3-0', '0-3', '3-2', '0-3']",2,3,8,11,home,Winter Warriors,Global Squash 2,Winter Warriors,Global Squash 2,Winter Warriors
Hong Kong Football Club 12A,CSD Squash Team,Hong Kong Football Club,3,22/10/2025,4-1,"['1-3', '3-0', 'CR', 'CR', 'CR']",4,1,13,3,home,CSD Squash Team,Hong Kong Football Club 12A,,,
SKCSC Div 12,Royal Hong Kong Yacht Club Div 12,Cornwall Street Squash Centre,3,22/10/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,home,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12
Star River 1,Hong Kong Football Club 12B,Cornwall Street Squash Centre,3,22/10/2025,4-1,"['3-0', '3-0', '3-1', '3-0', '1-3']",4,1,13,4,home,Star River 1,Star River 1,Star River 1,Star River 1,Hong Kong Football Club 12B
Sha Tin 5,Physical Chess 4,Cornwall Street Squash Centre,3,22/10/2025,2-3,"['1-3', '0-3', '1-3', '3-2', '3-0']",2,3,8,11,home,Physical Chess 4,Physical Chess 4,Physical Chess 4,Sha Tin 5,Sha Tin 5
Hong Kong Football Club 12B,Sha Tin 5,Hong Kong Football Club,4,05/11/2025,1-4,"['0-3', '3-2', '0-3', '0-3', '0-3']",1,4,3,14,home,Sha Tin 5,Hong Kong Football Club 12B,Sha Tin 5,Sha Tin 5,Sha Tin 5
Royal Hong Kong Yacht Club Div 12,Star River 1,Royal Hong Kong Yacht Club,4,05/11/2025,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3,home,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Royal Hong Kong Yacht Club Div 12,Star River 1
CSD Squash Team,SKCSC Div 12,HK Squash Centre,4,05/11/2025,2-3,"['3-0', '3-1', '0-3', '0-3', '0-3']",2,3,6,10,home,CSD Squash Team,CSD Squash Team,SKCSC Div 12,SKCSC Div 12,SKCSC Div 12
Winter Warriors,Hong Kong Football Club 12A,HK Squash Centre,4,05/11/2025,2-3,"['3-1', '1-3', '3-0', '1-3', '0-3']",2,3,8,10,home,Winter Warriors,Hong Kong Football Club 12A,Winter Warriors,Hong Kong Football Club 12A,Hong Kong Football Club 12A
Latecomers,Global Squash 2,HK Squash Centre,4,05/11/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,home,Global Squash 2,Global Squash 2,Global Squash 2,Global Squash 2,Global Squash 2
