Team,Played,Won,Lost,Points
Sovereign Group LRC M3,18,13,5,73
USRC M3,18,12,6,63
Hong Kong Cricket Club M3,18,12,6,62
Hong Kong Football Club M3B,18,9,9,54
The Hong Kong Jockey Club,18,7,11,52
Hong Kong Football Club M3A,18,6,12,40
JAWS Master,18,4,14,34
