Team,Played,Won,Lost,Points
i-Mask Advance Squash Club 12,21,18,3,98
United Services Recreation Club 4,21,19,2,94
Invader Squash,21,12,9,77
Striking Killers,21,11,10,65
ZOMA,21,8,13,56
HKCC Tuesday Night Rockers,21,6,15,42
The Squash Club 4,20,4,16,34
Royal Hong Kong Yacht Club 15,20,5,15,26
