Team,Played,Won,Lost,Points
Hong Kong Cricket Club M1,16,13,3,65
HK Club Gold,16,10,6,47
Hong Kong Football Club M1A,16,7,9,36
Hong Kong Football Club M1B,16,5,11,27
Clearwater Bay,16,5,11,26
