Team,Played,Won,Lost,Points
Hong Kong Football Club L3B,18,13,5,64
Polladies,18,13,5,60
Hong Kong Cricket Club Rockettes,18,14,4,57
Perrier Ladies,18,10,8,46
Les Femmes Du Squash,18,4,14,33
Hong Kong Football Club L3A,18,5,13,28
Hong Kong Football Club L3C,18,4,14,24
