Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC M2,18,18,0,93
Hong Kong Football Club M2B,18,14,4,73
Hong Kong Football Club M2A,18,10,8,63
American Club - Yacht Club,18,8,10,50
RICCI HALL OLD BOYS' ASSOCIATION,18,8,10,44
Discovery Bay Masters 2,18,5,13,41
Titlows Master,18,0,18,11
