Team,Played,Won,Lost,Points
Alpha CUHK MASTER,16,15,1,79
Perrier Serigo Tacchini KCC M4,16,12,4,69
Gloma,16,12,4,65
WAKO Senior,16,10,6,61
Hong Kong Cricket Club Young Masters,16,11,5,59
Hong Kong Football Club M4,15,4,11,29
Royal Hong Kong Yacht Club M4,16,3,13,28
Bolton,15,2,13,18
Hong Kong Club Blue,16,2,14,13
