Team,Played,Won,Lost,Points
Hong Kong Football Club L1,16,12,4,48
Young Player L1A,16,11,5,39
Perrier Serigo Tacchini KCC L1A,16,8,8,33
Young Player L1B,16,7,9,25
Perrier Serigo Tacchini KCC L1B,16,2,14,2
