Team,Played,Won,Lost,Points
Spirit 3,16,15,1,89
i-MASK Advance Squash Club 8,16,13,3,62
GS 2,16,10,6,56
The Zero Squash Club 3,16,9,7,50
SKCSC,16,8,8,48
Kinetic 4,16,6,10,44
DR. SQUASH 1,15,8,7,29
Friend Club 6,14,0,14,9
Hong Kong Cricket Club Junior 1,15,1,14,6
