Team,Played,Won,Lost,Points
Spirit 2,18,18,0,88
GS 1,18,15,3,68
The Zero Squash Club 1,18,10,8,61
Friend Club 4,18,10,8,60
Hong Kong Football Club 7,18,10,8,59
i-Mask Advance Squash Club 5,17,10,7,52
Yuen Long Squash Club,17,9,8,43
Giant 3,18,6,12,28
Graduated,18,1,17,18
WSC NOSET,18,1,17,13
