Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Kowloon Cricket Club 9,7.777777777777786,28.888888888888886,5.555555555555557,7.777777777777786,22.22222222222222,14.444444444444443
HKPF Squash Team,33.33333333333334,3.3333333333333357,-16.666666666666664,8.333333333333336,33.333333333333336,12.333333333333343
Friend Club,6.666666666666671,13.333333333333343,-20.0,26.66666666666667,33.33333333333334,12.0
Hong Kong Football Club 9,36.36363636363637,7.954545454545453,7.954545454545453,-7.95454545454546,10.389610389610397,10.941558441558435
Kwai Tsing District Squash Club,5.0,10.0,-10.0,25.0,0.0,6.0
Centre Squash,25.555555555555557,-16.666666666666657,-17.777777777777786,38.888888888888886,-14.444444444444443,3.111111111111107
The Best Group 2,33.33333333333333,0.0,-25.0,16.666666666666657,-16.66666666666667,1.6666666666666643
i-Mask Advance Squash Club 3,40.0,-46.66666666666667,-46.66666666666667,6.666666666666657,6.666666666666657,-8.000000000000014
