Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
TNG 2,40.0,0.0,0.0,-16.66666666666667,100.0,24.666666666666657
Physical Chess 4,33.33333333333333,-60.0,-30.0,50.0,66.66666666666667,12.0
Squashathon PLZ,80.0,-50.0,-10.0,0.0,0.0,4.0
M&M Squash,-11.42857142857143,-5.714285714285715,8.57142857142857,2.857142857142854,22.857142857142854,3.428571428571427
Arctic Circle,20.0,-30.0,0.0,10.0,13.333333333333343,2.6666666666666714
Royal Hong Kong Yacht Club Div 13,0.0,0.0,-16.666666666666657,19.444444444444443,7.9365079365079225,2.142857142857153
North District Sports Association 2,8.57142857142857,-17.142857142857146,-11.42857142857143,5.714285714285708,15.0,0.1428571428571317
Star River 3,66.66666666666666,16.666666666666664,-83.33333333333334,0.0,0.0,0.0
TNG 1,0.0,-50.0,66.66666666666667,-16.666666666666657,-16.666666666666657,-3.3333333333333286
Bravo D13,0.0,0.0,-33.33333333333333,-33.33333333333333,33.33333333333333,-6.666666666666657
Vitality Squash 3,8.333333333333336,-4.166666666666664,-7.142857142857146,-55.0,-33.33333333333334,-18.26190476190476
Greenfield,-57.14285714285714,-33.33333333333334,-16.666666666666686,-13.333333333333343,-16.66666666666667,-27.428571428571438
