Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,15,13,2,67,54,21,0,1,0,1
X-Alpha 2,14,12,2,63,51,19,0,1,0,1
Physical Chess 1,15,11,4,56,45,30,0,3,0,0
Hong Kong Racketlon Association 1,15,8,7,48,40,35,0,0,0,0
Uncle,14,7,7,40,35,35,0,2,0,1
The Squash Club 1,15,5,10,39,34,41,0,1,0,0
Happy Squash 2,15,6,9,38,33,42,5,3,1,0
Squashathon,15,6,9,37,33,42,0,2,2,0
Hong Kong Football Club 5B,14,4,10,32,28,42,7,0,0,0
i-Mask Advance Squash Club 1,14,1,13,13,12,58,4,3,0,0
