Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,15,15,0,73,58,17,0,0,0,0
United Services Recreation Club 2,15,10,5,57,47,28,0,0,0,0
Kowloon Cricket Club 6A,15,9,6,53,44,31,0,0,0,0
Hong Kong Cricket Club 4,15,8,7,48,40,35,0,0,0,0
Hong Kong Football Club 6B,15,8,7,46,38,37,0,1,0,0
Hong Kong Football Club 6C,15,7,8,45,38,37,0,0,0,0
Hong Kong Football Club 6A,15,7,8,43,36,39,0,0,0,0
Global Squash 1,15,7,8,38,31,44,0,0,0,0
Friend Club 3,15,2,13,25,23,52,1,0,0,0
Social Squash Team,15,2,13,22,20,55,0,0,0,0
