Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club L2,15,14,1,61,47,13,0,0,0,2
Hong Kong Football Club L2B,15,12,3,53,41,19,1,1,0,0
JESSICA L2,15,8,7,48,40,20,2,1,0,0
Hong Kong Football Club L2A,15,4,11,29,25,35,1,2,0,0
Hong Kong Cricket Club L2,15,3,12,17,14,46,0,1,0,0
Hong Kong Football Club L2C,15,4,11,15,13,47,1,0,2,0
