Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,14,14,0,66,52,18,0,0,0,0
The Squash Club 3,14,9,5,51,42,28,0,0,0,0
Kinetic 3,13,10,3,47,37,28,0,0,0,0
BOSS,13,7,6,41,34,31,0,0,0,0
Tuen Mun Squash Club,14,7,7,41,34,36,0,0,0,0
Star River 1,15,6,9,41,35,40,0,0,0,0
Global Squash 2,14,6,8,41,35,35,0,0,0,0
HKCC Tuesday Night Rockers,13,6,7,38,32,33,0,0,0,0
i-Mask Advance Squash Club 4,13,5,8,33,28,37,0,0,0,0
7NT,13,2,11,26,24,41,0,0,0,0
Invader Squash,14,3,11,25,22,48,0,0,0,0
