Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L2,11,10,1,43,33,11
Hong Kong Football Club L2B,11,10,1,40,30,14
JESSICA L2,11,6,5,37,31,13
Hong Kong Football Club L2A,11,2,9,21,19,25
Hong Kong Cricket Club L2,11,3,8,13,10,34
Hong Kong Football Club L2C,11,2,9,9,9,35
