Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L3,11,6,5,26,20,13
i-Mask Advance Squash Club L3,11,6,5,24,18,15
Hong Kong Cricket Club Rockettes,11,5,6,22,17,16
Hong Kong Football Club L3B,11,6,5,21,15,18
Hong Kong Football Club L3C,11,5,6,20,15,18
Hong Kong Football Club L3A,11,5,6,19,14,19
