Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 3,9,9,0,50,41,4
Hong Kong Football Club 8,9,8,1,39,31,14
Ladies Recreation Club Div 8,9,8,1,36,29,16
Physical Chess 3,9,5,4,30,25,20
Striving Squash,10,4,6,26,22,28
Squashathon Zero,9,3,6,26,23,22
TOMCAT,10,2,8,15,13,37
i-Mask Advance Squash Club 2,8,1,7,14,13,27
Kinetic 2,9,1,8,9,8,37
