Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc,Total Rubbers
JESSICA Smashin' Mochi,100.0,100.0,100.0,100.0,3
JESSICA L4,100.0,50.0,100.0,83.33333333333333,6
Hong Kong Cricket Club L4,100.0,100.0,33.33333333333333,77.77777777777777,9
Electrify Squash Ladies,33.33333333333333,33.33333333333333,50.0,38.888888888888886,8
i-Mask Advance Squash Club L4,0.0,0.0,0.0,0.0,0
Hong Kong Football Club L4,0.0,0.0,0.0,0.0,3
