Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,12,11,1,56,45,15,0,1,0,0
X-Alpha 2,12,10,2,52,42,18,0,1,0,0
Physical Chess 1,12,10,2,48,38,22,0,3,0,0
Hong Kong Racketlon Association 1,11,6,5,36,30,25,0,0,0,0
Happy Squash 2,12,5,7,33,28,32,5,3,0,0
Uncle,12,5,7,32,27,33,0,1,0,1
The Squash Club 1,12,3,9,27,24,36,0,1,0,0
Squashathon,11,4,7,26,23,32,0,2,1,0
Hong Kong Football Club 5B,11,3,8,24,21,34,7,0,0,0
i-Mask Advance Squash Club 1,11,1,10,13,12,43,3,3,0,0
