Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,12,12,0,65,53,7,1,1,0,5
Sha Tin 6,12,11,1,55,44,16,2,7,0,1
Fusion Squash Club 2,12,8,4,39,31,29,8,0,0,0
SocGen Squash,12,5,7,38,33,27,8,3,0,0
Yuen Long District Sports Association Limited,12,5,7,34,29,31,0,18,0,0
X-Alpha 5,12,6,6,33,32,28,0,16,5,0
Energy Squash Club 2,12,5,7,31,26,34,13,2,0,0
i-Mask Advance Squash Club 5,12,5,7,30,25,35,15,9,0,0
Energy Squash Club 1,12,4,8,30,27,33,4,8,1,0
Kinetic 4,12,4,8,25,21,39,2,4,0,0
Happy Squash 4,12,4,8,23,19,41,0,2,0,1
HKIS Div 13,12,3,9,22,20,40,19,2,1,0
