Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 6B,16,16,0,77,61,19
United Services Recreation Club 2,16,11,5,62,51,29
Kowloon Cricket Club 6A,16,10,6,59,49,31
Hong Kong Cricket Club 4,16,9,7,52,43,37
Hong Kong Football Club 6B,16,8,8,47,39,41
Hong Kong Football Club 6C,16,7,9,47,40,40
Hong Kong Football Club 6A,16,7,9,45,38,42
Global Squash 1,16,8,8,43,35,45
Friend Club 3,16,2,14,25,23,57
Social Squash Team,16,2,14,23,21,59
