Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
TNG 1,16,15,1,77,64,16
TNG 2,16,13,3,64,54,26
Royal Hong Kong Yacht Club Div 13,16,12,4,63,51,29
Greenfield,16,10,6,60,50,30
Arctic Circle,16,8,8,50,42,38
North District Sports Association 2,16,8,8,49,41,39
Squashathon PLZ,16,7,9,49,42,38
Bravo D13,16,6,10,40,34,46
Vitality Squash 3,16,6,10,32,26,54
M&M Squash,16,5,11,30,27,53
Physical Chess 4,16,3,13,28,26,54
Star River 3,16,3,13,26,23,57
