Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L4,14,13,1,51,38,4
Hong Kong Cricket Club L4,14,13,1,44,31,11
Hong Kong Football Club JSA,13,9,4,37,29,10
Hong Kong Football Club L4,14,5,9,22,17,25
JESSICA Smashin' Mochi,14,3,11,16,13,29
Electrify Squash Ladies,14,2,12,11,9,33
i-Mask Advance Squash Club L4,13,3,10,9,7,32
