Team Name,Home,Average Home Score,Average Away Score,Difference
Smart Squash 3,Cornwall Street (CSPSC),1.5714285714285714,0.8571428571428571,0.7142857142857143
Hong Kong Football Club 6A,Hong Kong Football Club (HKFC),3.75,3.25,0.5
Racketlon Hong Kong,Cornwall Street (CSPSC),3.0,2.7142857142857144,0.2857142857142856
Vitality Squash 1,HK Squash Centre (HKSC),2.8333333333333335,2.6666666666666665,0.16666666666666696
Sovereign Group LRC Div 6,Ladies Recreation Club (LRC),3.1,3.0,0.10000000000000009
Global 1,HK Squash Centre (HKSC),1.8333333333333333,1.8333333333333333,0.0
HKU 1,HK Squash Centre (HKSC),1.3333333333333333,1.3333333333333333,0.0
Head Sha Tin 2,Cornwall Street (CSPSC),1.8571428571428572,2.2857142857142856,-0.4285714285714284
Hong Kong Football Club 6B,Hong Kong Football Club (HKFC),3.0,3.4444444444444446,-0.44444444444444464
Kinetic 2,HK Squash Centre (HKSC),2.1666666666666665,2.8333333333333335,-0.666666666666667
