Team Name,Home,Average Home Score,Average Away Score,Difference
Star River 1,Cornwall Street (CSPSC),2.0,1.0,1.0
Discovery Bay,Discovery Bay (DB),1.9,1.0,0.8999999999999999
Friend Club 4,Cornwall Street (CSPSC),2.75,1.8571428571428572,0.8928571428571428
Hong Kong Football Club 8B,Hong Kong Football Club (HKFC),2.875,2.25,0.625
Hong Kong Football Club 8C,Hong Kong Football Club (HKFC),3.375,2.875,0.5
The Hong Kong Jockey Club D8,HKJC Sha Tin Club House (HKJC),2.1,1.8,0.30000000000000004
Head Sha Tin 3,Cornwall Street (CSPSC),3.125,3.0,0.125
Target,Harbour Road (HRSC),0.14285714285714285,0.2,-0.05714285714285716
Perrier Sergio Tacchini KCC 6,Kowloon Cricket Club (KCC),4.0,4.1,-0.09999999999999964
Hong Kong Cricket Club 4,Hong Kong Cricket Club (HKCC),3.1,3.2,-0.10000000000000009
Hong Kong Football Club 8A,Hong Kong Football Club (HKFC),3.625,4.5,-0.875
