Team Name,Home,Average Home Score,Average Away Score,Difference
Friend Club Masters,Masters - Cornwall Street (M - CSPSC),3.5,2.4285714285714284,1.0714285714285716
United Services Recreation Club M2,United Services Recreation Club (USRC),2.5555555555555554,1.7777777777777777,0.7777777777777777
Ricci Hall Old Boys' Association,Masters - Cornwall Street (M - CSPSC),3.4285714285714284,2.75,0.6785714285714284
Discovery Bay Masters,Discovery Bay (DB),1.4444444444444444,0.7777777777777778,0.6666666666666666
Sovereign Group LRC Master,Ladies Recreation Club (LRC),1.8888888888888888,1.3333333333333333,0.5555555555555556
Hong Kong Football Club M2B,Hong Kong Football Club (HKFC),4.142857142857143,3.875,0.26785714285714324
Hong Kong Football Club M2A,Hong Kong Football Club (HKFC),3.125,3.0,0.125
