Team Name,Home,Average Home Score,Average Away Score,Difference
Relay 1,Yuen Long Jockey Club (YLJCSC),2.8181818181818183,1.9090909090909092,0.9090909090909092
Star River 3,Cornwall Street (CSPSC),2.625,1.875,0.75
ZOMA,Cornwall Street (CSPSC),3.125,2.375,0.75
HKFS,Pei Ho Street (PHSSC),3.909090909090909,3.3636363636363638,0.5454545454545454
Police 2,Police Sports & Recreation Club (PSRC),3.4545454545454546,3.090909090909091,0.36363636363636376
HKCC Tuesday Night Rockers,Hong Kong Cricket Club (HKCC),2.3636363636363638,2.090909090909091,0.27272727272727293
Mark Six,Cornwall Street (CSPSC),0.375,0.125,0.25
Kinetic 6,HK Squash Centre (HKSC),1.9,1.7,0.19999999999999996
Invader Squash,Harbour Road (HRSC),3.2,3.1,0.10000000000000009
Phoenix 2,Harbour Road (HRSC),2.6,2.5,0.10000000000000009
South China Athletic Association,HK Squash Centre (HKSC),1.8,2.1,-0.30000000000000004
Flash,Cornwall Street (CSPSC),2.875,3.875,-1.0
