Team Name,Home,Average Home Score,Average Away Score,Difference
Spark 4,HK Squash Centre (HKSC),2.888888888888889,0.8888888888888888,2.0
Sun Baby,Cornwall Street (CSPSC),2.5,1.25,1.25
Giant 4,Cornwall Street (CSPSC),3.5,2.5,1.0
Hong Kong Football Club 18,Hong Kong Football Club (HKFC),3.0,2.3636363636363638,0.6363636363636362
Skyers,HK Squash Centre (HKSC),3.4444444444444446,2.888888888888889,0.5555555555555558
Kwai Tsing District Squash Club 3,Kwun Chung (KCSC),1.6363636363636365,1.1,0.5363636363636364
Head Sha Tin 6,Cornwall Street (CSPSC),3.875,3.375,0.5
Relay 2,Sir Denys Roberts (SDRSC),1.3,0.8181818181818182,0.4818181818181818
Vitality Squash 5,Java Road (JRSC),1.0,0.6363636363636364,0.36363636363636365
i-Mask Advance Squash Club 14,Cornwall Street (CSPSC),4.125,3.875,0.25
KYS 1,HK Squash Centre (HKSC),3.4444444444444446,3.2222222222222223,0.22222222222222232
Hong Kong Cricket Club 8,Hong Kong Cricket Club (HKCC),3.8181818181818183,3.8181818181818183,0.0
