Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,8,8,0,38,30,10,0,0,0,0
Physical Chess 1,8,7,1,33,26,14,0,3,0,0
X-Alpha 2,8,6,2,30,24,16,0,1,0,0
Hong Kong Racketlon Association 1,8,5,3,27,22,18,0,0,0,0
Uncle,8,4,4,25,21,19,0,0,0,1
Happy Squash 2,8,3,5,22,19,21,1,0,0,0
Squashathon,8,3,5,19,17,23,0,2,1,0
The Squash Club 1,8,2,6,19,17,23,0,1,0,0
Hong Kong Football Club 5B,8,2,6,18,16,24,4,0,0,0
i-Mask Advance Squash Club 1,8,0,8,8,8,32,2,0,0,0
