Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,7,7,0,32,25,10,0,0,0,0
BOSS,7,6,1,30,24,11,0,0,0,0
Kinetic 3,7,7,0,28,21,14,0,0,0,0
Star River 1,8,4,4,25,21,19,0,0,0,0
Tuen Mun Squash Club,8,4,4,24,20,20,0,0,0,0
Global Squash 2,7,4,3,23,19,16,0,0,0,0
The Squash Club 3,7,3,4,21,18,17,0,0,0,0
HKCC Tuesday Night Rockers,7,2,5,18,16,19,0,0,0,0
i-Mask Advance Squash Club 4,7,1,6,15,14,21,0,0,0,0
7NT,7,1,6,14,13,22,0,0,0,0
Invader Squash,8,1,7,10,9,31,0,0,0,0
