Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club 8,5,5,0,24,19,6
Sha Tin 3,4,4,0,22,18,2
Ladies Recreation Club Div 8,4,4,0,18,14,6
Physical Chess 3,5,3,2,17,14,11
Squashathon Zero,4,1,3,10,9,11
Striving Squash,5,1,4,9,8,17
i-Mask Advance Squash Club 2,5,1,4,9,8,17
TOMCAT,4,0,4,6,6,14
Kinetic 2,4,1,3,5,4,16
