Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Royal Hong Kong Yacht Club Div 15,4,4,0,18,14,6
Physical Chess 5,4,3,1,14,11,9
Hong Kong Cricket Club 8,5,1,4,13,12,13
Squashathon One,4,2,2,12,10,10
Sha Tin 7,5,2,3,12,10,15
HKIS Div 15,4,2,2,12,10,10
United Services Recreation Club 4,4,1,3,7,8,12
